message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=2,631388, y=-0,031842])";"30";"turtlesim3.sim";"1725958450.048450591";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,634567, y=-0,031842])";"30";"turtlesim3.sim";"1725958450.032720823";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,631388, y=-0,031842])";"30";"turtlesim2.sim";"1725958450.031587221";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,637746, y=-0,031842])";"30";"turtlesim3.sim";"1725958450.016628503";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,634567, y=-0,031842])";"30";"turtlesim2.sim";"1725958450.015562543";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,631405, y=-0,031842])";"30";"turtlesim1.sim";"1725958450.008744464";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,640925, y=-0,031842])";"30";"turtlesim3.sim";"1725958450.001161862";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,637746, y=-0,031842])";"30";"turtlesim2.sim";"1725958450.000254094";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,634584, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.992810372";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,644105, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.984186267";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,640925, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.983362356";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,637763, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.977757907";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,647284, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.968174814";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,644105, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.968106940";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,640942, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.961217480";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,650463, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.952193557";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,647284, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.951142186";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,644122, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.945557796";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,653642, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.936301257";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,650463, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.935634044";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,647301, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.929621431";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,656822, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.920382535";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,653642, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.919192425";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,650480, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.913727111";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,660001, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.904459565";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,656822, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.903375389";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,653659, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.897184903";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,663180, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.888769838";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,660001, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.887639300";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,656839, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.880948883";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,666360, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.872503999";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,663180, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.871501768";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,660018, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.865008536";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,669539, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.856409905";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,666360, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.855328859";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,663197, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.849582486";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,672718, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.839980251";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,669539, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.839888410";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,666376, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.833282941";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,675897, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.824395108";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,672718, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.823189526";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,669556, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.817262652";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,679077, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.808109179";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,675897, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.808035671";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,672735, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.801692652";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,679077, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.791975971";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,682256, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.791934125";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,675914, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.785725116";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,685435, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.777031283";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,682256, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.776925066";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,679093, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.769062028";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,688614, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.760376203";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,685435, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.759749047";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,682272, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.752909455";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,691794, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.744748407";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,688614, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.744111965";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,685452, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.737874953";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,694973, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.729077055";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,691794, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.727974572";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,688631, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.721573434";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,698152, y=-0,031842])";"30";"turtlesim3.sim";"1725958449.712790028";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,694973, y=-0,031842])";"30";"turtlesim2.sim";"1725958449.711769667";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2,691810, y=-0,031842])";"30";"turtlesim1.sim";"1725958449.705202653";"./src/turtle.cpp:update:260"
